X,Y,SHIFT,REPORT_DAT,CCN,OFFENSE,METHOD,DISTRICT
-77.03195469,38.91298543,EVENING,11/10/2023,23184914,MOTOR VEHICLE THEFT,OTHERS,3
-77.03273216,38.92952468,EVENING,11/11/2023,23185015,THEFT/OTHER,OTHERS,3
-77.0344023,38.9893967,DAY,11/11/2023,23185224,THEFT F/AUTO,OTHERS,4
-77.04492943,38.91855155,MIDNIGHT,11/12/2023,23185608,ROBBERY,GUN,3
-77.03273704,38.93187612,MIDNIGHT,11/12/2023,23185609,THEFT F/AUTO,OTHERS,4
-77.0319546,38.91483853,MIDNIGHT,11/12/2023,23185628,THEFT F/AUTO,OTHERS,3
-77.02808115,38.90992007,DAY,11/12/2023,23185742,THEFT F/AUTO,OTHERS,3
-77.02498163,38.89982097,MIDNIGHT,11/13/2023,23186084,THEFT F/AUTO,OTHERS,2
-77.01517777,38.89783019,MIDNIGHT,11/13/2023,23186092,THEFT F/AUTO,OTHERS,1
-77.03325664,38.90965936,DAY,11/15/2023,23187474,THEFT/OTHER,OTHERS,2
-76.98919534,38.86615736,DAY,11/17/2023,23187932,THEFT/OTHER,OTHERS,7
-77.04418254,38.90046272,DAY,11/16/2023,23188009,THEFT/OTHER,OTHERS,2
-77.03261635,38.90453397,EVENING,11/17/2023,23188110,THEFT/OTHER,OTHERS,2
-76.98458021,38.89147619,DAY,11/17/2023,23188434,THEFT F/AUTO,OTHERS,1
-76.9875659,38.90132441,EVENING,11/17/2023,23188570,THEFT/OTHER,OTHERS,1
-77.07103891,38.91967437,DAY,11/18/2023,23188574,THEFT/OTHER,OTHERS,2
-77.02116623,38.96729456,EVENING,11/18/2023,23188657,ROBBERY,GUN,4
-77.03325664,38.90965936,EVENING,11/18/2023,23188743,THEFT/OTHER,OTHERS,2
-77.02756259,38.91811905,MIDNIGHT,11/19/2023,23189374,ROBBERY,GUN,3
-77.00745722,38.87797363,MIDNIGHT,11/20/2023,23189675,MOTOR VEHICLE THEFT,OTHERS,1
-77.08194599,38.92259133,DAY,11/2/2023,23424218,THEFT/OTHER,OTHERS,2
-76.97298225,38.91556765,DAY,11/20/2023,23190037,THEFT/OTHER,OTHERS,5
-76.96284128,38.87078168,EVENING,11/20/2023,23190249,THEFT/OTHER,OTHERS,6
-77.03109484,38.90021641,DAY,11/2/2023,23424216,THEFT/OTHER,OTHERS,2
-76.99496451,38.89280557,DAY,11/2/2023,23424217,THEFT/OTHER,OTHERS,1
-76.9946386,38.83148083,DAY,11/2/2023,23424219,THEFT/OTHER,OTHERS,7
-77.02887543,38.92243615,DAY,10/24/2023,23175106,THEFT/OTHER,OTHERS,3
-77.02396872,38.90791663,DAY,10/25/2023,23175112,THEFT/OTHER,OTHERS,3
-77.07993962,38.94836485,EVENING,10/24/2023,23175250,ROBBERY,OTHERS,2
-77.03273167,38.93776214,EVENING,10/25/2023,23175759,THEFT F/AUTO,OTHERS,4
-77.03261635,38.90453397,MIDNIGHT,10/26/2023,23176081,THEFT/OTHER,OTHERS,2
-77.02554831,38.87973748,EVENING,10/27/2023,23176370,THEFT/OTHER,OTHERS,1
-77.03328634,38.91919369,EVENING,10/26/2023,23176502,THEFT/OTHER,OTHERS,3
-76.99888591,38.90647568,EVENING,10/27/2023,23176600,MOTOR VEHICLE THEFT,OTHERS,5
-77.0183567,38.91357065,MIDNIGHT,10/27/2023,23176701,THEFT F/AUTO,OTHERS,3
-76.97171595,38.9155697,DAY,10/27/2023,23176839,THEFT F/AUTO,OTHERS,5
-77.02668154,38.92778626,DAY,10/31/2023,23176949,THEFT/OTHER,OTHERS,3
-77.03273216,38.92952468,EVENING,11/15/2023,23187107,THEFT/OTHER,OTHERS,3
-77.02651085,38.89735568,DAY,11/15/2023,23187479,THEFT/OTHER,OTHERS,2
-76.9602969,38.87696408,EVENING,11/16/2023,23187687,ROBBERY,OTHERS,6
-76.96502176,38.85615697,EVENING,11/16/2023,23188078,THEFT/OTHER,OTHERS,6
-77.02703927,38.910104,DAY,10/24/2023,23424102,THEFT/OTHER,OTHERS,3
-77.03180112,38.93317573,EVENING,11/4/2023,23424297,THEFT/OTHER,OTHERS,4
-77.00540126,38.87991429,DAY,11/9/2023,23424542,THEFT/OTHER,OTHERS,1
-76.97988194,38.88868011,DAY,11/9/2023,23424553,THEFT/OTHER,OTHERS,1
