X,Y,CCN,REPORT_DAT
-76.9706425,38.86528504,23174291,10/23/2023
-77.06140106,38.93824921,23174356,10/23/2023
-76.9724116,38.91912941,23174719,10/24/2023
-76.97568839,38.88949116,23173555,11/2/2023
-77.03325664,38.90965936,23186420,11/13/2023
-76.98488144,38.92120406,23186817,11/14/2023
-76.97834145,38.92824123,23187260,11/15/2023
-77.058879,38.93620283,23187575,11/15/2023
-77.02510435,38.94028518,23187716,11/16/2023
-76.93126383,38.87759209,23187981,11/16/2023
-76.99731565,38.88427862,23188108,11/16/2023
-77.02508897,38.96671608,23188667,11/17/2023
-77.0106955,38.8677715,23188755,11/18/2023
-77.03643111,38.94347492,23189617,11/19/2023
-77.02307402,38.95421979,23190041,11/20/2023
-76.9973071,38.90021115,23190166,11/20/2023
-76.95866284,38.8852211,23190247,11/21/2023
-77.00403438,38.8775382,23190271,11/21/2023
-76.92051575,38.89527062,23175190,10/24/2023
-76.9869109,38.88284681,23175345,10/25/2023
-77.01432715,38.97484567,23175843,10/25/2023
-77.01989985,38.91409892,23173998,10/22/2023
-77.05808284,38.93483207,23174050,10/22/2023
-77.04295164,38.93508427,23174234,10/22/2023
-77.00502202,38.87885636,23181001,11/4/2023
-76.98155566,38.84654551,23181442,11/5/2023
-76.99111984,38.93402912,23181696,11/5/2023
-77.07002414,38.95536965,23182150,11/6/2023
-77.04418254,38.90046272,23182475,11/6/2023
-76.98007655,38.84629016,23182968,11/7/2023
-76.97309013,38.86191152,23183030,11/7/2023
-76.99111984,38.93402912,23183547,11/8/2023
-77.02189701,38.91701817,23183937,11/9/2023
-77.00415151,38.92576723,23184067,11/9/2023
-77.03273216,38.92952468,23184302,11/9/2023
-76.95638368,38.88519671,23184810,11/10/2023
-77.02885156,38.90133592,23185321,11/11/2023
-77.02191885,38.89913749,23187250,11/15/2023
-77.04085865,38.90520683,23187414,11/19/2023
-76.92189596,38.89648236,23188109,11/16/2023
-77.02660132,38.9529359,23188597,11/18/2023
-77.07142691,38.91181481,23189104,11/18/2023
-76.97079517,38.87429889,23189177,11/18/2023
-76.98366109,38.87875911,23189205,11/19/2023
-77.02332878,38.96555501,23190146,11/20/2023
-77.04415874,38.92013101,23190191,11/20/2023
-77.02695974,38.97299315,23190357,11/21/2023
-77.00708114,38.87648984,23174792,10/23/2023
-77.03078785,38.91919032,23175247,10/24/2023
-77.03363388,38.90252598,23175523,10/25/2023
-77.05808284,38.93483207,23175967,10/26/2023
-77.01466812,38.92640669,23175999,10/26/2023
-77.01958039,38.95753835,23176197,10/26/2023
-76.96642532,38.87338255,23176804,10/27/2023
-76.98473876,38.91383721,23177700,10/29/2023
-77.03325664,38.90965936,23177717,10/29/2023
-77.04166139,38.91521175,23177777,10/29/2023
-77.02091907,38.89735051,23177966,10/29/2023
-77.05808284,38.93483207,23185723,11/12/2023
-76.92446159,38.88976101,23185895,11/12/2023
-76.99696158,38.83199581,23186020,11/13/2023
-77.02091907,38.89735051,23186383,11/13/2023
-77.03273216,38.92952468,23186419,11/13/2023
-76.97409213,38.87179938,23178210,10/30/2023
-77.02808366,38.91629302,23178308,10/30/2023
-77.00324479,38.87648865,23178714,10/30/2023
-77.03325664,38.90965936,23179162,10/31/2023
-77.08243491,38.94580945,23179653,11/1/2023
-77.04085865,38.90520683,23180228,11/2/2023
-77.02294802,38.91724425,23180693,11/3/2023
-76.98850787,38.84255336,23181667,11/5/2023
-77.03272783,38.9477372,23182037,11/6/2023
-77.08560518,38.9496965,23183148,11/7/2023
-76.9955522,38.82920993,23183368,11/8/2023
-76.96579752,38.86807609,23183447,11/8/2023
-76.95528978,38.92418337,23183481,11/8/2023
-77.02651467,38.90858117,23184001,11/9/2023
-76.95266541,38.92054352,23186511,11/14/2023
-77.04168313,38.91828899,23186647,11/14/2023
